Component Pins:
Owner   Type  Dir         Value  Name
     7  float OUT             0  hm2_7c80.0.stepgen.01.velocity-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.02.control-type
     7  s32   OUT             0  hm2_7c80.0.stepgen.02.counts
     7  float OUT             0  hm2_7c80.0.stepgen.02.dbg_err_at_match
     7  float OUT             0  hm2_7c80.0.stepgen.02.dbg_ff_vel
     7  float OUT             0  hm2_7c80.0.stepgen.02.dbg_pos_minus_prev_cmd
     7  float OUT             0  hm2_7c80.0.stepgen.02.dbg_s_to_match
     7  s32   OUT             0  hm2_7c80.0.stepgen.02.dbg_step_rate
     7  float OUT             0  hm2_7c80.0.stepgen.02.dbg_vel_error
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.02.enable
     7  float IN              0  hm2_7c80.0.stepgen.02.position-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.02.position-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.02.position-reset
     7  float IN              0  hm2_7c80.0.stepgen.02.velocity-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.02.velocity-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.03.control-type
     7  s32   OUT             0  hm2_7c80.0.stepgen.03.counts
     7  float OUT             0  hm2_7c80.0.stepgen.03.dbg_err_at_match
     7  float OUT             0  hm2_7c80.0.stepgen.03.dbg_ff_vel
     7  float OUT             0  hm2_7c80.0.stepgen.03.dbg_pos_minus_prev_cmd
     7  float OUT             0  hm2_7c80.0.stepgen.03.dbg_s_to_match
     7  s32   OUT             0  hm2_7c80.0.stepgen.03.dbg_step_rate
     7  float OUT             0  hm2_7c80.0.stepgen.03.dbg_vel_error
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.03.enable
     7  float IN              0  hm2_7c80.0.stepgen.03.position-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.03.position-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.03.position-reset
     7  float IN              0  hm2_7c80.0.stepgen.03.velocity-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.03.velocity-fb
     7  s32   IN             -1  hm2_7c80.0.stepgen.timer-number
     7  bit   I/O         FALSE  hm2_7c80.0.watchdog.has_bit
     7  s32   OUT             0  hm2_7c80.0.write.time
